Ticker,Open_Price,High_Price,Low_Price,Close_Price,Previous_Close,Number_Of_Trades,Volume,Trade_Date
RELIANCE,2532,2624.45,2532,2589.3,2559.2,19057,259291,2022-06-17 00:00:00
RELIANCE,2607,2618.1,2521.1,2542.8,2589.3,13241,141291,2022-06-20 00:00:00
RELIANCE,2552.4,2592.7,2529,2584.55,2542.8,12117,135235,2022-06-21 00:00:00
RELIANCE,2563,2563,2501,2505.2,2584.55,20228,191652,2022-06-22 00:00:00
RELIANCE,2520,2524.9,2446,2464.6,2505.2,38558,282095,2022-06-23 00:00:00
RELIANCE,2490,2510.95,2468.25,2500.75,2464.6,14141,182130,2022-06-24 00:00:00
RELIANCE,2549,2549,2482,2491.95,2500.75,15735,180405,2022-06-27 00:00:00
RELIANCE,2482.15,2535,2482.15,2529,2491.95,13180,127683,2022-06-28 00:00:00
RELIANCE,2504.35,2596.85,2501,2579.05,2529,28326,305035,2022-06-29 00:00:00
RELIANCE,2576,2615.8,2567.3,2594.05,2579.05,15613,209154,2022-06-30 00:00:00
RELIANCE,2580,2591.65,2365,2408.95,2594.05,78025,1078836,2022-07-01 00:00:00
RELIANCE,2388.8,2441.85,2367,2413.95,2408.95,55047,893090,2022-07-04 00:00:00
RELIANCE,2424.95,2464.65,2417.6,2433.2,2413.95,29443,435731,2022-07-05 00:00:00
RELIANCE,2425.05,2441.15,2387.4,2411.95,2433.2,19968,259341,2022-07-06 00:00:00
RELIANCE,2424.8,2433.9,2375.05,2387.65,2411.95,39916,452454,2022-07-07 00:00:00
RELIANCE,2414.9,2415.85,2383,2391.5,2387.65,15097,222410,2022-07-08 00:00:00
RELIANCE,2380,2428,2370.3,2423.2,2391.5,28512,805038,2022-07-11 00:00:00
RELIANCE,2411,2439,2403.9,2420.15,2423.2,13638,203047,2022-07-12 00:00:00
RELIANCE,2429,2433.95,2373,2377.3,2420.15,13890,185355,2022-07-13 00:00:00
RELIANCE,2389.7,2434.5,2377.5,2396.95,2377.3,17689,249673,2022-07-14 00:00:00
RELIANCE,2420,2420,2383.6,2401.55,2396.95,8334,105343,2022-07-15 00:00:00
RELIANCE,2420.05,2425,2393.5,2422.15,2401.55,10615,4311256,2022-07-18 00:00:00
RELIANCE,2411,2447,2400.75,2441.2,2422.15,15090,354911,2022-07-19 00:00:00
RELIANCE,2535,2545.05,2485.55,2501.4,2441.2,33500,536736,2022-07-20 00:00:00
RELIANCE,2498,2498.65,2468,2487.4,2501.4,14612,236686,2022-07-21 00:00:00
RELIANCE,2500,2516.8,2495,2502.9,2487.4,21054,394782,2022-07-22 00:00:00
RELIANCE,2469,2469,2403.95,2420.15,2502.9,26354,465538,2022-07-25 00:00:00
RELIANCE,2423.8,2444.05,2412.45,2420.5,2420.15,13144,261141,2022-07-26 00:00:00
RELIANCE,2419.4,2427,2402,2419.25,2420.5,9982,182221,2022-07-27 00:00:00
RELIANCE,2435,2467,2421.1,2457.25,2419.25,24442,302611,2022-07-28 00:00:00
RELIANCE,2470,2517,2463.5,2508.75,2457.25,35226,435531,2022-07-29 00:00:00
RELIANCE,2513,2587,2507.95,2575.1,2508.75,12703,4318904,2022-08-01 00:00:00
RELIANCE,2572.8,2606.5,2560.55,2583.1,2575.1,22047,283788,2022-08-02 00:00:00
RELIANCE,2597.45,2610,2567.55,2605.8,2583.1,11981,159491,2022-08-03 00:00:00
RELIANCE,2616,2617.65,2535,2571.4,2605.8,12523,190556,2022-08-04 00:00:00
RELIANCE,2577,2578,2527.5,2533.95,2571.4,10186,133584,2022-08-05 00:00:00
RELIANCE,2535,2583.5,2531.65,2566.8,2533.95,15166,187347,2022-08-08 00:00:00
RELIANCE,2572,2589.95,2558,2581.95,2566.8,8256,111725,2022-08-10 00:00:00
RELIANCE,2600,2615,2580.8,2590.2,2581.95,7576,99044,2022-08-11 00:00:00
RELIANCE,2586.25,2641,2582.1,2632.65,2590.2,12790,222555,2022-08-12 00:00:00
RELIANCE,2649.8,2656.6,2627.8,2650.55,2632.65,7713,75427,2022-08-16 00:00:00
RELIANCE,2660.55,2677.6,2656,2664.45,2650.55,9364,114212,2022-08-17 00:00:00
RELIANCE,2663.45,2668.5,2640.25,2660.65,2664.45,12244,181482,2022-08-18 00:00:00
RELIANCE,2654.05,2661,2605.3,2613.6,2660.65,11870,136003,2022-08-19 00:00:00
RELIANCE,2616,2630.55,2586.2,2606.7,2613.6,13946,167523,2022-08-22 00:00:00
RELIANCE,2586,2652,2586,2647.5,2606.7,18965,225535,2022-08-23 00:00:00
RELIANCE,2637.4,2668.5,2636,2639.05,2647.5,13665,150278,2022-08-24 00:00:00
RELIANCE,2651,2662.3,2622,2630.5,2639.05,9096,86635,2022-08-25 00:00:00
RELIANCE,2638,2647.9,2608,2618.75,2630.5,20405,185236,2022-08-26 00:00:00
RELIANCE,2570,2653.3,2570,2596.8,2618.75,29047,504166,2022-08-29 00:00:00
RELIANCE,2621.7,2645.95,2577.15,2639.1,2596.8,16525,297293,2022-08-30 00:00:00
RELIANCE,2589.1,2605.95,2552,2560.2,2639.1,42249,1149213,2022-09-01 00:00:00
RELIANCE,2565,2574,2525,2529.8,2560.2,18989,266857,2022-09-02 00:00:00
RELIANCE,2530,2581,2530,2570.25,2529.8,9765,119294,2022-09-05 00:00:00
RELIANCE,2569.6,2605.5,2569.6,2595.4,2570.25,23540,376714,2022-09-06 00:00:00
RELIANCE,2579.7,2594.5,2569.05,2581.15,2595.4,9748,191624,2022-09-07 00:00:00
RELIANCE,2590,2597,2571,2585.2,2581.15,9935,164380,2022-09-08 00:00:00
RELIANCE,2606.55,2606.85,2565,2568.6,2585.2,9087,165838,2022-09-09 00:00:00
RELIANCE,2573.7,2611.4,2572,2597.6,2568.6,11262,152127,2022-09-12 00:00:00
RELIANCE,2615,2628.55,2601,2620.15,2597.6,14356,223055,2022-09-13 00:00:00
RELIANCE,2565,2609.5,2565,2587.8,2620.15,21499,257288,2022-09-14 00:00:00
RELIANCE,2586,2602.3,2557,2561.75,2587.8,12863,180396,2022-09-15 00:00:00
RELIANCE,2549,2553.6,2491.25,2499.3,2561.75,17578,210585,2022-09-16 00:00:00
RELIANCE,2499.2,2521.9,2481.6,2502.35,2499.3,16024,2963131,2022-09-19 00:00:00
RELIANCE,2525,2537.2,2495.85,2502.05,2502.35,8957,93423,2022-09-20 00:00:00
RELIANCE,2501.85,2534,2495.7,2509.25,2502.05,8609,74857,2022-09-21 00:00:00
RELIANCE,2482.9,2502.65,2472.55,2485.9,2509.25,10302,88397,2022-09-22 00:00:00
RELIANCE,2485.5,2495.05,2435.2,2439.35,2485.9,12730,110625,2022-09-23 00:00:00
RELIANCE,2404,2417.65,2375.5,2377.5,2439.35,14925,130939,2022-09-26 00:00:00
RELIANCE,2395,2425.75,2360.15,2395.4,2377.5,27061,420283,2022-09-27 00:00:00
RELIANCE,2365.1,2378.4,2327.85,2332.1,2395.4,20903,249075,2022-09-28 00:00:00
RELIANCE,2358,2367.75,2313.55,2325.3,2332.1,17781,191249,2022-09-29 00:00:00
RELIANCE,2318,2401.15,2315,2377.7,2325.3,23226,251390,2022-09-30 00:00:00
RELIANCE,2397,2416.95,2363.5,2374.3,2377.7,16312,228998,2022-10-03 00:00:00
RELIANCE,2398.45,2417.9,2390.35,2413.05,2374.3,10765,155355,2022-10-04 00:00:00
RELIANCE,2436,2450,2418.4,2422.65,2413.05,9000,90481,2022-10-06 00:00:00
RELIANCE,2418,2443.9,2413.85,2433.25,2422.65,12655,151735,2022-10-07 00:00:00
RELIANCE,2409.05,2417.7,2388,2405.75,2433.25,15187,138925,2022-10-10 00:00:00
RELIANCE,2411.25,2412,2351,2357.25,2405.75,10278,3962521,2022-10-11 00:00:00
RELIANCE,2354.95,2380.8,2345.55,2375.05,2357.25,8254,92000,2022-10-12 00:00:00
RELIANCE,2375.8,2394.2,2361,2383.85,2375.05,7983,89649,2022-10-13 00:00:00
RELIANCE,2412,2416.05,2368.35,2371,2383.85,14521,169418,2022-10-14 00:00:00
RELIANCE,2354.7,2413.75,2343.6,2410,2371,20747,312009,2022-10-17 00:00:00
RELIANCE,2420,2463,2420,2450.55,2410,19597,275176,2022-10-18 00:00:00
RELIANCE,2452.15,2527,2441.9,2496.5,2450.55,16998,304000,2022-10-19 00:00:00
RELIANCE,2478.05,2519,2478.05,2500.9,2496.5,15326,268387,2022-10-20 00:00:00
RELIANCE,2507,2516.5,2467,2471.95,2500.9,16869,228842,2022-10-21 00:00:00
RELIANCE,2464.5,2501,2458.35,2479.7,2471.95,16896,117206,2022-10-24 00:00:00
RELIANCE,2498,2498.15,2437.55,2441.85,2479.7,11760,2676294,2022-10-25 00:00:00
RELIANCE,2456,2468,2433.2,2450.1,2441.85,17152,240543,2022-10-27 00:00:00
RELIANCE,2463.05,2534,2460.2,2526,2450.1,15155,250899,2022-10-28 00:00:00
RELIANCE,2535,2560.5,2533.1,2549.55,2526,13902,238633,2022-10-31 00:00:00
RELIANCE,2582,2588.45,2508,2529.75,2549.55,12671,195343,2022-11-01 00:00:00
RELIANCE,2528.35,2550.25,2514.25,2545.4,2529.75,9725,119457,2022-11-02 00:00:00
RELIANCE,2526.15,2560,2526.15,2555.95,2545.4,11281,213304,2022-11-03 00:00:00
RELIANCE,2548,2595.25,2548,2592.45,2555.95,21773,295536,2022-11-04 00:00:00
RELIANCE,2592,2609.9,2574,2606.15,2592.45,10357,168418,2022-11-07 00:00:00
RELIANCE,2606,2621.5,2591.35,2603,2606.15,9617,185280,2022-11-09 00:00:00
RELIANCE,2585,2596.95,2563,2574.45,2603,13328,240161,2022-11-10 00:00:00
RELIANCE,2598.7,2635,2587.25,2631.35,2574.45,27518,402694,2022-11-11 00:00:00
RELIANCE,2625,2642.65,2605.55,2617.95,2631.35,8727,4751003,2022-11-14 00:00:00
RELIANCE,2618.05,2627.75,2590.05,2606.7,2617.95,10322,403971,2022-11-15 00:00:00
RELIANCE,2604,2615.05,2581.2,2591.85,2606.7,8062,116478,2022-11-16 00:00:00
RELIANCE,2586,2613,2581.35,2601.3,2591.85,9381,181514,2022-11-17 00:00:00
RELIANCE,2606,2608.85,2572,2597.55,2601.3,11998,138143,2022-11-18 00:00:00
RELIANCE,2585,2589.3,2543,2550.05,2597.55,7858,104254,2022-11-21 00:00:00
RELIANCE,2544.25,2568,2536.9,2564.3,2550.05,7845,201826,2022-11-22 00:00:00
RELIANCE,2579,2579,2552.15,2556.45,2564.3,8879,188170,2022-11-23 00:00:00
RELIANCE,2566,2592,2548.35,2582.55,2556.45,7808,101023,2022-11-24 00:00:00
RELIANCE,2583.05,2624.15,2581.35,2617.05,2582.55,20395,228490,2022-11-25 00:00:00
RELIANCE,2601.35,2721.6,2585,2708.05,2617.05,23804,358911,2022-11-28 00:00:00
RELIANCE,2704.1,2730.5,2693.4,2711.05,2708.05,21081,225659,2022-11-29 00:00:00
RELIANCE,2715,2743.6,2699.1,2732.4,2711.05,9761,116521,2022-11-30 00:00:00
RELIANCE,2736,2754.7,2716,2722.95,2732.4,20390,245387,2022-12-01 00:00:00
RELIANCE,2726.25,2747.65,2701,2722.65,2722.95,9191,114503,2022-12-02 00:00:00
